,Unnamed: 0,Tweets,Label,step01,tokens,final_tokens,step02,finalText_str,ProcessedText
10,10,"Tidak cuma keluarga, Nanda, sahabat Revan pun merasa teramat kehilangan. Impian mereka berdua untuk bersama-sama tu… https://t.co/CJEsDGcHHV",0,tidak cuma keluarga nanda sahabat revan pun merasa teramat kehilangan impian mereka berdua untuk bersama sama tu,"['tidak', 'cuma', 'keluarga', 'nanda', 'sahabat', 'revan', 'pun', 'merasa', 'teramat', 'kehilangan', 'impian', 'mereka', 'berdua', 'untuk', 'bersama', 'sama', 'tu']","['tidak', 'cuma', 'keluarga', 'nanda', 'sahabat', 'revan', 'pun', 'merasa', 'teramat', 'kehilangan', 'impian', 'mereka', 'berdua', 'untuk', 'bersama', 'sama', 'tu']",tidak cuma keluarga nanda sahabat revan pun merasa teramat kehilangan impian mereka berdua untuk bersama sama tu,tidak cuma keluarga nanda sahabat revan pun merasa teramat kehilangan impian mereka berdua untuk bersama sama tu,cuma keluarga nanda sahabat revan rasa amat hilang impi dua sama sama tu
11,11,"Dua hari sebelum peristiwa, Revan sudah berpamitan pada ayahnya untuk menonton langsung di Stadion Kanjuruhan.

Nam… https://t.co/ypcsUcnX61",0,dua hari sebelum peristiwa revan sudah berpamitan pada ayahnya untuk menonton langsung di stadion kanjuruhan nam,"['dua', 'hari', 'sebelum', 'peristiwa', 'revan', 'sudah', 'berpamitan', 'pada', 'ayahnya', 'untuk', 'menonton', 'langsung', 'di', 'stadion', 'kanjuruhan', 'nam']","['dua', 'hari', 'sebelum', 'peristiwa', 'revan', 'sudah', 'berpamitan', 'pada', 'ayahnya', 'untuk', 'menonton', 'langsung', 'di', 'stadion', 'kanjuruhan', 'nam']",dua hari sebelum peristiwa revan sudah berpamitan pada ayahnya untuk menonton langsung di stadion kanjuruhan nam,dua hari sebelum peristiwa revan sudah berpamitan pada ayahnya untuk menonton langsung di stadion kanjuruhan nam,hari peristiwa revan pamit ayah tonton langsung stadion kanjuruhan nam
12,12,"RT @narasitv: Duka Kanjuruhan, Duka Mereka yang Kehilangan
https://t.co/T8vNf1K6Cr

Peristiwa Kanjuruhan meninggalkan duka bagi banyak oran…",0,narasitv duka kanjuruhan duka mereka yang kehilangan peristiwa kanjuruhan meninggalkan duka bagi banyak oran,"['narasitv', 'duka', 'kanjuruhan', 'duka', 'mereka', 'yang', 'kehilangan', 'peristiwa', 'kanjuruhan', 'meninggalkan', 'duka', 'bagi', 'banyak', 'oran']","['narasitv', 'duka', 'kanjuruhan', 'duka', 'mereka', 'yang', 'kehilangan', 'peristiwa', 'kanjuruhan', 'meninggalkan', 'duka', 'bagi', 'banyak', 'oran']",narasitv duka kanjuruhan duka mereka yang kehilangan peristiwa kanjuruhan meninggalkan duka bagi banyak oran,narasitv duka kanjuruhan duka mereka yang kehilangan peristiwa kanjuruhan meninggalkan duka bagi banyak oran,narasitv duka kanjuruhan duka yang hilang peristiwa kanjuruhan tinggal duka banyak oran
13,13,"Sering banget denger resesi dari para pejabat. Sebenarnya berapa kali, sih, ekonomi dunia pernah resesi? Cek datany… https://t.co/BOkPIq16vv",1,sering banget denger resesi dari para pejabat sebenarnya berapa kali sih ekonomi dunia pernah resesi cek datany,"['sering', 'banget', 'denger', 'resesi', 'dari', 'para', 'pejabat', 'sebenarnya', 'berapa', 'kali', 'sih', 'ekonomi', 'dunia', 'pernah', 'resesi', 'cek', 'datany']","['sering', 'banget', 'denger', 'resesi', 'dari', 'para', 'pejabat', 'sebenarnya', 'berapa', 'kali', 'sih', 'ekonomi', 'dunia', 'pernah', 'resesi', 'cek', 'datany']",sering banget denger resesi dari para pejabat sebenarnya berapa kali sih ekonomi dunia pernah resesi cek datany,sering banget denger resesi dari para pejabat sebenarnya berapa kali sih ekonomi dunia pernah resesi cek datany,sering banget denger resesi para jabat benar berapa kali ekonomi dunia pernah resesi cek datany
14,14,"Menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi. Namun, setelah sempat dikaitkan dengan… https://t.co/7TzluKmVYt",0,menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi namun setelah sempat dikaitkan dengan,"['menkes', 'menyebut', 'penyebab', 'gagal', 'ginjal', 'akut', 'masih', 'belum', 'dapat', 'diidentifikasi', 'namun', 'setelah', 'sempat', 'dikaitkan', 'dengan']","['menkes', 'menyebut', 'penyebab', 'gagal', 'ginjal', 'akut', 'masih', 'belum', 'dapat', 'diidentifikasi', 'namun', 'setelah', 'sempat', 'dikaitkan', 'dengan']",menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi namun setelah sempat dikaitkan dengan,menkes menyebut penyebab gagal ginjal akut masih belum dapat diidentifikasi namun setelah sempat dikaitkan dengan,menkes sebut sebab gagal ginjal akut belum identifikasi telah sempat kait
15,15,"Jumlah ini meningkat dari data yang diumumkan sebelumnya, yakin terdapat 220 kasus dengan jumlah kematian mencapai 99 orang.",0,jumlah ini meningkat dari data yang diumumkan sebelumnya yakin terdapat   kasus dengan jumlah kematian mencapai   orang,"['jumlah', 'ini', 'meningkat', 'dari', 'data', 'yang', 'diumumkan', 'sebelumnya', 'yakin', 'terdapat', 'kasus', 'dengan', 'jumlah', 'kematian', 'mencapai', 'orang']","['jumlah', 'ini', 'meningkat', 'dari', 'data', 'yang', 'diumumkan', 'sebelumnya', 'yakin', 'terdapat', 'kasus', 'dengan', 'jumlah', 'kematian', 'mencapai', 'orang']",jumlah ini meningkat dari data yang diumumkan sebelumnya yakin terdapat kasus dengan jumlah kematian mencapai orang,jumlah ini meningkat dari data yang diumumkan sebelumnya yakin terdapat kasus dengan jumlah kematian mencapai orang,jumlah tingkat data umum belum yakin dapat kasus jumlah mati capai orang
16,16,Menteri Kesehatan Budi Gunadi Sadikin melaporkan pada Jumat (21/10/2022) bahwa sudah terdapat 241 kasus gangguan gi… https://t.co/trWnBt02AJ,0,menteri kesehatan budi gunadi sadikin melaporkan pada jumat   bahwa sudah terdapat   kasus gangguan gi,"['menteri', 'kesehatan', 'budi', 'gunadi', 'sadikin', 'melaporkan', 'pada', 'jumat', 'bahwa', 'sudah', 'terdapat', 'kasus', 'gangguan', 'gi']","['menteri', 'kesehatan', 'budi', 'gunadi', 'sadikin', 'melaporkan', 'pada', 'jumat', 'bahwa', 'sudah', 'terdapat', 'kasus', 'gangguan', 'gi']",menteri kesehatan budi gunadi sadikin melaporkan pada jumat bahwa sudah terdapat kasus gangguan gi,menteri kesehatan budi gunadi sadikin melaporkan pada jumat bahwa sudah terdapat kasus gangguan gi,menteri sehat budi gunadi sadikin lapor jumat sudah dapat kasus ganggu gi
17,17,"ASN milenial udah siap pindah ke IKN belum? Fasilitasnya bakal jos loh kata pemerintah~ 

| Narasi Daily https://t.co/psiYPphy93",0,asn milenial udah siap pindah ke ikn belum fasilitasnya bakal jos loh kata pemerintah narasi daily,"['asn', 'milenial', 'udah', 'siap', 'pindah', 'ke', 'ikn', 'belum', 'fasilitasnya', 'bakal', 'jos', 'loh', 'kata', 'pemerintah', 'narasi', 'daily']","['asn', 'milenial', 'udah', 'siap', 'pindah', 'ke', 'ikn', 'belum', 'fasilitasnya', 'bakal', 'jos', 'loh', 'kata', 'pemerintah', 'narasi', 'daily']",asn milenial udah siap pindah ke ikn belum fasilitasnya bakal jos loh kata pemerintah narasi daily,asn milenial udah siap pindah ke ikn belum fasilitasnya bakal jos loh kata pemerintah narasi daily,asn milenial udah siap pindah ikn fasilitas bakal jos kata perintah narasi daily
18,18,"Gelar aksi solidaritas untuk peristiwa Kanjuruhan, sejumlah suporter ditangkap polisi. Alasannya, para suporter ini… https://t.co/eLLNlKrXwd",0,gelar aksi solidaritas untuk peristiwa kanjuruhan sejumlah suporter ditangkap polisi alasannya para suporter ini,"['gelar', 'aksi', 'solidaritas', 'untuk', 'peristiwa', 'kanjuruhan', 'sejumlah', 'suporter', 'ditangkap', 'polisi', 'alasannya', 'para', 'suporter', 'ini']","['gelar', 'aksi', 'solidaritas', 'untuk', 'peristiwa', 'kanjuruhan', 'sejumlah', 'suporter', 'ditangkap', 'polisi', 'alasannya', 'para', 'suporter', 'ini']",gelar aksi solidaritas untuk peristiwa kanjuruhan sejumlah suporter ditangkap polisi alasannya para suporter ini,gelar aksi solidaritas untuk peristiwa kanjuruhan sejumlah suporter ditangkap polisi alasannya para suporter ini,gelar aksi solidaritas peristiwa kanjuruhan jumlah suporter tangkap polisi alas suporter
19,19,"Kedutaan besar Iran di Seoul menyangkal kalo Rekabi hilang karena tanding tanpa hijab. Dan informasi terakhir, Reka… https://t.co/RgnrgrdQup",1,kedutaan besar iran di seoul menyangkal kalo rekabi hilang karena tanding tanpa hijab dan informasi terakhir reka,"['kedutaan', 'besar', 'iran', 'di', 'seoul', 'menyangkal', 'kalo', 'rekabi', 'hilang', 'karena', 'tanding', 'tanpa', 'hijab', 'dan', 'informasi', 'terakhir', 'reka']","['kedutaan', 'besar', 'iran', 'di', 'seoul', 'menyangkal', 'kalo', 'rekabi', 'hilang', 'karena', 'tanding', 'tanpa', 'hijab', 'dan', 'informasi', 'terakhir', 'reka']",kedutaan besar iran di seoul menyangkal kalo rekabi hilang karena tanding tanpa hijab dan informasi terakhir reka,kedutaan besar iran di seoul menyangkal kalo rekabi hilang karena tanding tanpa hijab dan informasi terakhir reka,duta besar iran seoul sangkal kalo rekabi hilang tanding hijab informasi akhir reka
20,20,"Ini latihan beneran kan ya? 

Udahh, jangan panas-panasan, yang adem-adem aja, kasihan masyarakat dunia ikut kena i… https://t.co/OjMNzW4Lr2",0,ini latihan beneran kan ya udahh jangan panas panasan yang adem adem aja kasihan masyarakat dunia ikut kena,"['ini', 'latihan', 'beneran', 'kan', 'ya', 'udahh', 'jangan', 'panas', 'panasan', 'yang', 'adem', 'adem', 'aja', 'kasihan', 'masyarakat', 'dunia', 'ikut', 'kena']","['ini', 'latihan', 'beneran', 'kan', 'ya', 'udahh', 'jangan', 'panas', 'panasan', 'yang', 'adem', 'adem', 'aja', 'kasihan', 'masyarakat', 'dunia', 'ikut', 'kena']",ini latihan beneran kan ya udahh jangan panas panasan yang adem adem aja kasihan masyarakat dunia ikut kena,ini latihan beneran kan ya udahh jangan panas panasan yang adem adem aja kasihan masyarakat dunia ikut kena,latih beneran kan udahh jangan panas panas adem adem aja kasihan masyarakat dunia ikut kena
21,21,"Korban meninggal akibat peristiwa Kanjurhan bertambah lagi.

Selamat jalan Reivano. Istirahat yang tenang😢🥀
https://t.co/plr7dd2TwC",0,korban meninggal akibat peristiwa kanjurhan bertambah lagi selamat jalan reivano istirahat yang tenang,"['korban', 'meninggal', 'akibat', 'peristiwa', 'kanjurhan', 'bertambah', 'lagi', 'selamat', 'jalan', 'reivano', 'istirahat', 'yang', 'tenang']","['korban', 'meninggal', 'akibat', 'peristiwa', 'kanjurhan', 'bertambah', 'lagi', 'selamat', 'jalan', 'reivano', 'istirahat', 'yang', 'tenang']",korban meninggal akibat peristiwa kanjurhan bertambah lagi selamat jalan reivano istirahat yang tenang,korban meninggal akibat peristiwa kanjurhan bertambah lagi selamat jalan reivano istirahat yang tenang,korban tinggal akibat peristiwa kanjurhan tambah selamat jalan reivano istirahat tenang
22,22,"Ada yang ketar-ketir nih pasokan minyaknya dikurangi sama Arab Saudi heu~ 👀

Emang seberapa bergantung sih AS sama… https://t.co/kvaJxKKYh2",1,ada yang ketar ketir nih pasokan minyaknya dikurangi sama arab saudi heu emang seberapa bergantung sih as sama,"['ada', 'yang', 'ketar', 'ketir', 'nih', 'pasokan', 'minyaknya', 'dikurangi', 'sama', 'arab', 'saudi', 'heu', 'emang', 'seberapa', 'bergantung', 'sih', 'as', 'sama']","['ada', 'yang', 'ketar', 'ketir', 'nih', 'pasokan', 'minyaknya', 'dikurangi', 'sama', 'arab', 'saudi', 'heu', 'emang', 'seberapa', 'bergantung', 'sih', 'as', 'sama']",ada yang ketar ketir nih pasokan minyaknya dikurangi sama arab saudi heu emang seberapa bergantung sih as sama,ada yang ketar ketir nih pasokan minyaknya dikurangi sama arab saudi heu emang seberapa bergantung sih as sama,yang ketar tir nih pasok minyak rang sama arab saudi heu emang berapa gantung as sama
23,23,"Semangat buat BTS yang bakal ikut wajib militer. Buat para ARMY, jangan sedih, mereka bakal kumpul tiga tahun lagi… https://t.co/3K2wl31Dnl",0,semangat buat bts yang bakal ikut wajib militer buat para army jangan sedih mereka bakal kumpul tiga tahun lagi,"['semangat', 'buat', 'bts', 'yang', 'bakal', 'ikut', 'wajib', 'militer', 'buat', 'para', 'army', 'jangan', 'sedih', 'mereka', 'bakal', 'kumpul', 'tiga', 'tahun', 'lagi']","['semangat', 'buat', 'bts', 'yang', 'bakal', 'ikut', 'wajib', 'militer', 'buat', 'para', 'army', 'jangan', 'sedih', 'mereka', 'bakal', 'kumpul', 'tiga', 'tahun', 'lagi']",semangat buat bts yang bakal ikut wajib militer buat para army jangan sedih mereka bakal kumpul tiga tahun lagi,semangat buat bts yang bakal ikut wajib militer buat para army jangan sedih mereka bakal kumpul tiga tahun lagi,semangat buat bts bakal ikut wajib militer buat army jangan sedih bakal kumpul tiga tahun
24,24,"Serem banget, abis ngebunuh malah senyum-senyum gitu😢😭

Informasi lainnya, tonton #NarasiPagi di… https://t.co/jgmIqBOFKB",0,serem banget abis ngebunuh malah senyum senyum gitu informasi lainnya tonton di,"['serem', 'banget', 'abis', 'ngebunuh', 'malah', 'senyum', 'senyum', 'gitu', 'informasi', 'lainnya', 'tonton', 'di']","['serem', 'banget', 'abis', 'ngebunuh', 'malah', 'senyum', 'senyum', 'gitu', 'informasi', 'lainnya', 'tonton', 'di']",serem banget abis ngebunuh malah senyum senyum gitu informasi lainnya tonton di,serem banget abis ngebunuh malah senyum senyum gitu informasi lainnya tonton di,rem banget abis ngebunuh malah senyum senyum gitu informasi lain tonton
25,25,"Apa lagi, nih? Jangan ada intimidasi-intimidasi deh. Bakal susah terungkap dengan jelas dan transparan kalo sampe g… https://t.co/y1usVwDN4k",1,apa lagi nih jangan ada intimidasi intimidasi deh bakal susah terungkap dengan jelas dan transparan kalo sampe,"['apa', 'lagi', 'nih', 'jangan', 'ada', 'intimidasi', 'intimidasi', 'deh', 'bakal', 'susah', 'terungkap', 'dengan', 'jelas', 'dan', 'transparan', 'kalo', 'sampe']","['apa', 'lagi', 'nih', 'jangan', 'ada', 'intimidasi', 'intimidasi', 'deh', 'bakal', 'susah', 'terungkap', 'dengan', 'jelas', 'dan', 'transparan', 'kalo', 'sampe']",apa lagi nih jangan ada intimidasi intimidasi deh bakal susah terungkap dengan jelas dan transparan kalo sampe,apa lagi nih jangan ada intimidasi intimidasi deh bakal susah terungkap dengan jelas dan transparan kalo sampe,apa nih jangan intimidasi intimidasi deh bakal susah ungkap jelas transparan kalo sampe
26,26,"Coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama BPOM.

| Narasi Daily https://t.co/5MnSvngUvO",0,coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama bpom narasi daily,"['coba', 'dicek', 'lagi', 'deh', 'siapa', 'tau', 'masuk', 'dalam', 'daftar', 'obat', 'sirup', 'yang', 'ditarik', 'sama', 'bpom', 'narasi', 'daily']","['coba', 'dicek', 'lagi', 'deh', 'siapa', 'tau', 'masuk', 'dalam', 'daftar', 'obat', 'sirup', 'yang', 'ditarik', 'sama', 'bpom', 'narasi', 'daily']",coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama bpom narasi daily,coba dicek lagi deh siapa tau masuk dalam daftar obat sirup yang ditarik sama bpom narasi daily,coba cek deh siapa tau masuk daftar obat sirup tarik sama bpom narasi daily
27,27,"Pernah beli, dikasih sama dokter, atau nyimpen obat sirup buat anak-anak di rumah? 

| Narasi Daily https://t.co/HP04jQUZcs",0,pernah beli dikasih sama dokter atau nyimpen obat sirup buat anak anak di rumah narasi daily,"['pernah', 'beli', 'dikasih', 'sama', 'dokter', 'atau', 'nyimpen', 'obat', 'sirup', 'buat', 'anak', 'anak', 'di', 'rumah', 'narasi', 'daily']","['pernah', 'beli', 'dikasih', 'sama', 'dokter', 'atau', 'nyimpen', 'obat', 'sirup', 'buat', 'anak', 'anak', 'di', 'rumah', 'narasi', 'daily']",pernah beli dikasih sama dokter atau nyimpen obat sirup buat anak anak di rumah narasi daily,pernah beli dikasih sama dokter atau nyimpen obat sirup buat anak anak di rumah narasi daily,pernah beli kasih sama dokter nyimpen obat sirup buat anak anak rumah narasi daily
28,28,"Kata PSSI dan FIFA, kejadian dalam sepak bola dunia akan selalu ada, tapi sepak bola harus terus berjalan😢

https://t.co/rEbG0QtTub",0,kata pssi dan fifa kejadian dalam sepak bola dunia akan selalu ada tapi sepak bola harus terus berjalan,"['kata', 'pssi', 'dan', 'fifa', 'kejadian', 'dalam', 'sepak', 'bola', 'dunia', 'akan', 'selalu', 'ada', 'tapi', 'sepak', 'bola', 'harus', 'terus', 'berjalan']","['kata', 'pssi', 'dan', 'fifa', 'kejadian', 'dalam', 'sepak', 'bola', 'dunia', 'akan', 'selalu', 'ada', 'tapi', 'sepak', 'bola', 'harus', 'terus', 'berjalan']",kata pssi dan fifa kejadian dalam sepak bola dunia akan selalu ada tapi sepak bola harus terus berjalan,kata pssi dan fifa kejadian dalam sepak bola dunia akan selalu ada tapi sepak bola harus terus berjalan,kata pssi fifa jadi sepak bola dunia selalu tapi sepak bola terus jalan
29,29,"Tjakeeepps👍🏻👍🏻 Ngerasa gagal, minta maaf, lalu mundur, enggak pake lempar-lempar tanggung jawab, apalagi pake nyala… https://t.co/lblnUVEbT0",0,tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab apalagi pake nyala,"['tjakeeepps', 'ngerasa', 'gagal', 'minta', 'maaf', 'lalu', 'mundur', 'enggak', 'pake', 'lempar', 'lempar', 'tanggung', 'jawab', 'apalagi', 'pake', 'nyala']","['tjakeeepps', 'ngerasa', 'gagal', 'minta', 'maaf', 'lalu', 'mundur', 'enggak', 'pake', 'lempar', 'lempar', 'tanggung', 'jawab', 'apalagi', 'pake', 'nyala']",tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab apalagi pake nyala,tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab apalagi pake nyala,tjakeeepps ngerasa gagal minta maaf lalu mundur enggak pake lempar lempar tanggung jawab pake nyala
