Column1;Unnamed: 0;Tweets;label
75;75;"Jenis-jenis ekspresi habis nonton episode pertama Dikta &amp; Hukum😂 Asli campur aduk banget WKWKKW! Yang penasaran, me… https://t.co/nUkkty8qPA";0
76;76;@tokopedia itu baju kuning kok mirip ak;0
77;77;"Gimana hari ini guys!?

Btw kalo lagi butuh hiburan, coba nonton series We TV Original Dikta &amp; Hukum! Kemaren aku u… https://t.co/Y26UTeSTTS";0
78;78;"Yang penting diblock, yang gak penting malah dibiarin

:)";0
79;79;Berusahalah untuk selalu berbuat baik kepada orang lain. Karena kita tidak tahu kesulitan apa yang sedang mereka alami.;0
80;80;Semangat!!;0
81;81;RT @sksksksksksk012: udah lama ga beli @tokomenantea rasanya KAJZIWJANBSKABSKWNAUJWBSIWBSKABAHENSU ENAK BANGET WOIIIIIII😭😭😭 https://t.co/sd…;0
82;82;BATTLE QUIZ PENGETAHUAN: JEROME VS RAJA QUIZ INDONESIA (HELMY YAHYA)! Selamat menonton! https://t.co/cqWpk4wsgb https://t.co/fj6QwvDcgW;0
83;83;Hari ini seruuu, ngobrol2 bareng naura~ https://t.co/H7jr33k2xk;0
84;84;"RT @geraldhiras: NIBATAK MANTAPPU

Tadi malem tidur mimpi kenalan, taunya ketemu beneran pas siang BANG. https://t.co/BVUqMSCmsr";0
85;85;@nessiejudge kerja di mana kak?;0
86;86;ngeliat story orang2 kenapa pada banyak banget yang bakal nikah ya wwkwwkk;0
87;87;"RT @NASAWebb: 👀 Sneak a peek at the deepest &amp; sharpest infrared image of the early universe ever taken — all in a day’s work for the Webb t…";0
88;88;@ArnoldPoernomo wibu;0
89;89;"RT @BadmintonTalk: Final with bestie!!

Congratulations to the Daddies and Fajar/Rian!

#BadmintalkPhoto #PMM2022 #MalaysiaMasters2022 http…";0
90;90;Hari ini kembali disadarkan bahwa hidup-mati, bener-bener cuma Tuhan yang tahu. Kita harus menggunakan waktu dan ke… https://t.co/kr2dOsiPsw;0
91;91;君，頑張ってください!;0
92;92;RT @nikone_25: 安倍元総理がお亡くなりになりました。言葉がありません。犯人が憎い。この怒りをどこにぶつけていいのか分かりません。今はただ、安倍さんに感謝するだけです。強い総理大臣であり、私達を安心させてくれる優しいリーダーでした。お疲れ様でした。心よりご冥福をお祈…;0
93;93;Hari ini collab podcast dan konten youtube bareng UN1TY! Seruuu bgt mantappu jiwaaa https://t.co/eijj2HpmzV;0
94;94;WKWKKWKWWWK https://t.co/EjagHyHtzR;0
95;95;Salah satu episode terseru dari Wasedaboys Indonesia Trip! Coba nawar harga di pasar😂 WKWKWKWK… https://t.co/OKTbYHe9oJ;0
96;96;Gak pinter matematika/suatu pelajaran, bukan berarti gak pinter. Bidang dan aspek kepinteran tiap orang beda-beda.;0
97;97;RT @aku_orang_apa: akhirnya aku ketemu lagi sama bang @JeromePolin setelah 1 setengah tahun👍🏼 https://t.co/xLgxG4MYiC;0
98;98;buat masnya, sini aku kasih soal matematika mau ga wkwkwkkw https://t.co/kw4Fq4kBlJ;0
